trad_char,trad_freq,trad_stroke_count,trad_id,trad_unicode,simpl_char,simpl_stroke_count,english,simpl_freq,flags
的,6538132,8,A02724,7684,的,8,"possessive and nominalization particle",7922684,[]
是,3200626,9,A01791,662F,是,9,"be",2615490,[]
不,2831612,4,A00010,4E0D,不,4,"no, not",2237915,[]
我,2584497,7,A01473,6211,我,7,"I",1690048,[]
一,2542556,1,A00001,4E00,一,1,"one",3050722,[]
有,2289333,6,A01842,6709,有,6,"have, own",1782004,[]
大,1891383,3,A00848,5927,大,3,"large",1054064,[]
在,1715554,6,A00743,5728,在,6,"at, in",2009181,[]
人,1598855,2,A00068,4EBA,人,2,"person",1867999,[]
了,1507218,2,A00046,4E86,了,2,"finish",2128528,['many-to-one']
中,1322363,4,A00020,4E2D,中,4,"middle, center",1104541,[]
到,1310850,8,A00348,5230,到,8,"arrive",965035,[]
資,1115608,13,A03951,8CC7,资,10,"fund",168890,"['diff', 'many-to-one']"
要,1034142,9,A03763,8981,要,9,"demand",811011,[]
以,994958,5,A00078,4EE5,以,4,"therefrom",910627,[]
可,992842,5,A00481,53EF,可,5,"able",723108,[]
這,986130,11,A04136,9019,这,7,"this",1552042,['diff']
個,933857,10,A00190,500B,个,3,"generic measure word",1199580,['diff']
你,915385,7,A00124,4F60,你,7,"you (male)",705205,['many-to-one']
會,894569,13,A01840,6703,会,6,"calculate",734888,['diff']
好,860232,6,A00883,597D,好,6,"good",411866,[]
為,847332,9,A02395,70BA,为,4,"do, act, be",1039036,['diff']
上,828394,3,A00007,4E0A,上,3,"up, ascend",1069575,[]
來,812950,8,A00138,4F86,来,7,"come",1079469,['diff']
學,806783,16,A01001,5B78,学,8,"learn",464261,['diff']
就,803921,12,A01074,5C31,就,12,"thus",771108,[]
交,728005,6,A00060,4EA4,交,6,"cross, give, meet",135727,[]
也,712260,3,A00040,4E5F,也,3,"too, also",710259,[]
用,695290,5,A02627,7528,用,5,"use",535480,[]
能,668264,10,A03329,80FD,能,10,"able",665358,[]
如,659275,6,A00885,5982,如,6,"as if, if",449036,[]
時,658186,10,A01794,6642,时,7,"time",833532,['diff']
文,651140,4,A01743,6587,文,4,"literature, writing",274222,[]
說,638724,14,A03839,8AAA,说,9,"say",874977,['diff']
沒,638184,7,A02151,6C92,没,7,"without",428146,['diff']
他,635766,5,A00082,4ED6,他,5,"he",1595761,['many-to-one']
看,632561,9,A02764,770B,看,9,"watch over",424616,[]
那,610340,7,A04204,90A3,那,6,"that",638538,[]
問,601742,11,A00610,554F,问,6,"ask",288237,['diff']
生,601668,5,A02623,751F,生,5,"grow, live, raw, unfamiliar",682031,[]
提,599147,12,A01624,63D0,提,12,"carry",205159,[]
下,589356,3,A00005,4E0B,下,3,"down, descend",621185,[]
過,586922,13,A04167,904E,过,6,"pass, mistake, experiental aspect",589925,['diff']
請,576417,15,A03849,8ACB,请,10,"invite",100226,['diff']
們,571155,10,A00183,5011,们,5,"plural marker",1169853,['diff']
天,569684,4,A00849,5929,天,4,"sky, heaven",419884,[]
所,558469,8,A01490,6240,所,8,"place, to such extent",523028,[]
多,542911,6,A00842,591A,多,6,"many",481689,[]
麼,535402,14,A04765,9EBC,么,3,"interrogative particle",477969,"['diff', 'many-to-one']"
小,530133,3,A01068,5C0F,小,3,"small",410987,[]
之,527444,4,A00029,4E4B,之,3,"possessive particle",609003,[]
想,525378,13,A01403,60F3,想,13,"think",368819,[]
得,521836,11,A01291,5F97,得,11,"obtain",630688,[]
工,521467,3,A01148,5DE5,工,3,"work",317532,[]
出,513081,5,A00325,51FA,出,5,"go out",755256,['many-to-one']
還,511627,17,A04191,9084,还,7,"still, yet",415855,['diff']
電,509516,13,A04473,96FB,电,5,"lightning, electricity",183834,['diff']
對,500435,14,A01066,5C0D,对,5,"reply, toward, pair, correct",703632,['diff']
都,493206,11,A04214,90FD,都,10,"all",439568,[]
機,468878,16,A02031,6A5F,机,6,"occasion, machine",339823,"['diff', 'many-to-one']"
自,462155,6,A03386,81EA,自,6,"self",611687,[]
而,459507,6,A03255,800C,而,6,"and, also",649239,[]
子,459460,3,A00982,5B50,子,3,"child",640640,[]
後,459039,9,A01287,5F8C,后,6,"after",570764,"['diff', 'many-to-one']"
訊,448759,10,A03790,8A0A,讯,5,"information",20488,['diff']
家,447793,10,A01026,5BB6,家,10,"home",509790,['many-to-one']
站,446241,10,A02978,7AD9,站,10,"stand",75402,[]
心,445610,4,A01305,5FC3,心,4,"heart, mind, soul",392228,[]
只,443992,5,A00493,53EA,只,5,"only",370059,['many-to-one']
去,443547,5,A00466,53BB,去,5,"go",476270,[]
知,434311,8,A02818,77E5,知,8,"know",306384,[]
國,430450,11,A00734,570B,国,8,"country",985350,['diff']
很,417617,9,A01282,5F88,很,9,"very",284252,[]
台,414094,5,A00496,53F0,台,5,"platform",109362,['many-to-one']
成,406735,6,A01471,6210,成,6,"succeed, complete",499007,[]
信,406628,9,A00148,4FE1,信,9,"trust",230248,[]
同,395867,6,A00501,540C,同,6,"same",437611,[]
何,394682,7,A00111,4F55,何,7,"what",184335,[]
章,391052,11,A04531,7AE0,章,11,"chapter, section",76098,[]
道,386382,13,A04159,9053,道,12,"path",534695,[]
發,374961,12,A02720,767C,发,5,"launch, start, distribute",572904,"['diff', 'many-to-one']"
地,374510,6,A00742,5730,地,6,"ground",969349,[]
法,370276,8,A02168,6CD5,法,8,"way (to do something)",466816,[]
無,368361,12,A02416,7121,无,4,"negative, lack",359265,['diff']
然,364596,12,A02417,7136,然,12,"thus",511026,[]
但,362245,7,A00121,4F46,但,7,"but",374459,[]
當,354718,13,A02652,7576,当,6,"take a role, facing",429274,"['diff', 'many-to-one']"
於,353628,8,A01760,65BC,于,3,"in, on, at",630524,"['diff', 'many-to-one']"
嗎,353524,13,A00649,55CE,吗,6,"Interrogative particle",91639,['diff']
本,353034,5,A01855,672C,本,5,"root, base",388118,[]
年,343135,6,A01194,5E74,年,6,"year",601887,[]
現,341466,11,A02574,73FE,现,8,"appear",433960,['diff']
前,339595,9,A00355,524D,前,9,"front",381431,[]
最,335527,12,A00302,6700,最,12,"most",283689,[]
真,335203,10,A02768,771F,真,10,"true",198416,[]
新,334204,13,A01757,65B0,新,13,"new",253921,[]
和,333422,8,A00556,548C,和,8,"harmony, and",1010465,[]
因,326759,6,A00726,56E0,因,6,"reason, because",371612,[]
果,324143,8,A01876,679C,果,8,"fruit",246831,[]
意,322755,13,A01400,610F,意,13,"meaning",360232,[]
定,322471,8,A01014,5B9A,定,8,"fix",422538,[]
點,319559,17,A04775,9EDE,点,9,"dot",300800,['diff']
情,318027,11,A01370,60C5,情,11,"feeling",312900,[]
其,317897,8,A00292,5176,其,8,"that",403028,[]
題,316919,18,A04561,984C,题,15,"topic",189921,['diff']
事,312553,8,A00048,4E8B,事,8,"matter",499172,[]
科,311419,9,A02916,79D1,科,9,"subject",155750,[]
方,310681,4,A01759,65B9,方,4,"square, rectangle",492763,[]
些,304517,8,A00056,4E9B,些,8,"some",400528,[]
清,302588,11,A02224,6E05,清,11,"clear",127716,[]
三,301762,3,A00004,4E09,三,3,"three",304272,[]
樣,301165,15,A02005,6A23,样,10,"likeness",398149,['diff']
此,295670,6,A02068,6B64,此,6,"this",318534,[]
吧,295069,7,A00520,5427,吧,7,"bar (establishment)",87536,[]
位,291403,7,A00104,4F4D,位,7,"position",214983,[]
作,287015,7,A00123,4F5C,作,7,"make",542791,[]
理,286328,11,A02573,7406,理,11,"reason, logic, science",398087,[]
行,285867,6,A03699,884C,行,6,"row, rank, business",531848,[]
者,283962,8,A03253,8005,者,8,"agent noun suffix",360974,[]
經,282242,13,A03124,7D93,经,8,"warp (in weaving)",481338,['diff']
名,278941,6,A00508,540D,名,6,"name, fame",198481,[]
什,276297,4,A00070,4EC0,什,4,"what",267869,[]
謝,274523,17,A03877,8B1D,谢,12,"thank",37550,['diff']
日,273090,4,A01771,65E5,日,4,"sun, day",363763,[]
正,266725,5,A02067,6B63,正,5,"first",296810,[]
開,265943,12,A04376,958B,开,4,"open",377012,['diff']
話,265861,13,A03824,8A71,话,8,"speech",240067,['diff']
與,264663,14,A03398,8207,与,3,"archaic discourse particle",345532,['diff']
實,264457,14,A01046,5BE6,实,8,"real",368494,['diff']
愛,262882,13,A01404,611B,爱,10,"love",108167,['diff']
再,261987,6,A00298,518D,再,6,"again",179607,[]
華,260565,12,A03503,83EF,华,6,"flourish, China",103158,['diff']
二,260189,2,A00049,4E8C,二,2,"two",267506,[]
城,257697,9,A00769,57CE,城,9,"city",102833,[]
動,256817,11,A00395,52D5,动,6,"move",426839,['diff']
比,253132,4,A02102,6BD4,比,4,"compare",200645,[]
面,252008,9,A04506,9762,面,9,"face",425180,['many-to-one']
高,251576,10,A04667,9AD8,高,10,"high",293542,[]
又,249806,2,A00468,53C8,又,2,"again",302933,[]
或,248845,8,A01474,6216,或,8,"or",260786,[]
力,247326,2,A00379,529B,力,2,"power",359136,[]
應,246284,17,A01452,61C9,应,7,"should, ought",280384,['diff']
女,245920,3,A00877,5973,女,3,"female",185188,[]
種,245042,14,A02936,7A2E,种,9,"seed",503344,['diff']
教,245033,11,A01726,6559,教,11,"teach",208875,[]
車,244964,7,A04061,8ECA,车,4,"cart, vehicle",118824,['diff']
分,243477,4,A00331,5206,分,4,"divide",419382,[]
像,243002,14,A00242,50CF,像,13,"resemble",145291,[]
系,240826,7,A03080,7CFB,系,7,"link, succession",190769,['many-to-one']
長,237093,8,A04369,9577,长,4,"long, length",342148,['diff']
手,236673,4,A01495,624B,手,4,"hand",280442,[]
次,236297,6,A02053,6B21,次,6,"...time, iteration",214857,[]
已,235726,3,A01155,5DF2,已,3,"already",318143,[]
明,234613,8,A01784,660E,明,8,"bright",309873,[]
打,233464,5,A01498,6253,打,5,"beat",186146,[]
太,232918,4,A00851,592A,太,4,"very, too, extreme",180490,[]
路,232737,13,A04015,8DEF,路,13,"road",141812,[]
起,228817,10,A03992,8D77,起,10,"rise",424933,[]
己,228330,3,A01154,5DF1,己,3,"self",250894,[]
相,224206,9,A02762,76F8,相,9,"reciprocal",269125,[]
主,224073,5,A00025,4E3B,主,5,"master, host, control",399693,[]
關,222896,19,A04398,95DC,关,6,"close, turn off, mountain pass",302473,['diff']
十,222525,2,A00429,5341,十,2,"ten",338954,[]
間,221727,12,A04378,9593,间,7,"between, space",292227,['diff']
鳳,218326,14,A04720,9CF3,凤,4,"male phoenix",13817,['diff']
外,217422,5,A00840,5916,外,5,"outside",295645,[]
呢,217180,8,A00558,5462,呢,8,"discourse particle",112185,[]
覺,216291,20,A03774,89BA,觉,9,"sleep",132041,['diff']
使,216201,8,A00134,4F7F,使,8,"cause",316273,[]
該,216069,13,A03815,8A72,该,8,"should, ought",136053,['diff']
友,214814,4,A00470,53CB,友,4,"friend",68196,[]
才,214782,3,A01496,624D,才,3,"talent",181725,['many-to-one']
進,212481,12,A04156,9032,进,7,"advance",412166,['diff']
她,211517,6,A00884,5979,她,6,"she",388612,[]
民,211274,5,A02109,6C11,民,5,"people",335796,[]
著,210770,12,A03506,8457,著,11,"obvious, author",46239,['one-to-many']
著,210770,12,A03506,8457,着,11,"move (board games), tactic",626326,"['diff', 'one-to-many']"
各,210520,6,A00506,5404,各,6,"each",193435,[]
全,207034,6,A00283,5168,全,6,"whole, all",305248,[]
將,206982,11,A01063,5C07,将,9,"use",295586,['diff']
少,206744,4,A01069,5C11,少,4,"few, less",183018,[]
兩,206181,8,A00284,5169,两,7,"two",294600,['diff']
加,205509,5,A00380,52A0,加,5,"add",243648,[]
回,205155,6,A00727,56DE,回,6,"return, times",239243,['many-to-one']
感,203436,13,A01402,611F,感,13,"feel",178383,[]
式,202729,6,A01243,5F0F,式,6,"ceremony, type",142292,[]
第,202411,11,A02993,7B2C,第,11,"number",325780,[]
球,199740,11,A02572,7403,球,11,"ball, sphere",63913,[]
性,199183,8,A01328,6027,性,8,"characteristic",309844,[]
老,198538,6,A03251,8001,老,6,"old",223050,[]
程,197707,12,A02928,7A0B,程,12,"extent",136962,[]
把,197579,7,A01511,628A,把,7,"hold, direct object marker",340730,[]
被,197413,11,A03718,88AB,被,10,"quilt",268905,[]
公,195727,4,A00288,516C,公,4,"fair, public, duke",318626,[]
論,193909,15,A03856,8AD6,论,6,"discuss, describe",197165,['diff']
及,193509,4,A00471,53CA,及,3,"reach",202671,[]
龍,192863,16,A04806,9F8D,龙,5,"dragon",54169,['diff']
校,192451,10,A01910,6821,校,10,"proofread",63200,[]
別,190394,7,A00339,5225,别,7,"other",186634,"['diff', 'many-to-one']"
體,190332,23,A04666,9AD4,体,7,"body",273792,['diff']
重,190069,9,A04257,91CD,重,9,"double",282843,[]
給,189973,12,A03122,7D66,给,9,"give",217815,['diff']
聽,188903,22,A03282,807D,听,7,"listen",148988,['diff']
水,186822,4,A02124,6C34,水,4,"water",198933,[]
做,186770,11,A00206,505A,做,11,"do, make",175580,[]
常,185860,11,A01175,5E38,常,11,"common, frequent",212309,[]
您,185118,11,A01365,60A8,您,11,"you (honorific)",51094,[]
見,183680,7,A03766,898B,见,4,"see, observe",269080,['diff']
裡,183675,12,A03732,88E1,里,7,"inside",537795,"['diff', 'many-to-one']"
東,183624,8,A01875,6771,东,5,"east",206238,['diff']
風,182757,9,A04572,98A8,风,4,"wind",121803,['diff']
解,180531,13,A03778,89E3,解,13,"untie",200090,[]
灣,178502,25,A02381,7063,湾,12,"bay",40101,['diff']
月,177519,4,A01841,6708,月,4,"moon, month",240566,[]
等,177504,12,A02997,7B49,等,12,"wait",266296,[]
啦,177091,11,A00602,5566,啦,11,"assertive particle",22263,[]
部,176255,11,A04212,90E8,部,10,"part",403066,[]
原,174329,10,A00461,539F,原,10,"plains",207579,[]
美,173127,9,A03218,7F8E,美,9,"beauty",269452,[]
先,172122,6,A00271,5148,先,6,"earlier",210628,[]
音,170924,9,A04530,97F3,音,9,"sound",76043,[]
通,170230,11,A04138,901A,通,10,"open",209046,[]
管,170135,14,A03009,7BA1,管,14,"pipe",170746,[]
網,169776,14,A03137,7DB2,网,6,"net",67118,['diff']
區,169166,11,A00427,5340,区,4,"a surname",164775,['diff']
期,168934,12,A01849,671F,期,12,"time period",169806,[]
錯,168867,16,A04310,932F,错,13,"error",62401,['diff']
否,168690,7,A00518,5426,否,7,"is not",64772,[]
樂,168280,15,A02016,6A02,乐,5,"joyful",64965,['diff']
