https://zh.wikisource.org/zh-hant/%E5%B8%B8%E7%94%A8%E5%9C%8B%E5%AD%97%E6%A8%99%E6%BA%96%E5%AD%97%E9%AB%94%E8%A1%A8
流水序	教育部字號	Unicode	常用字
00001	A00001	4E00	一
00002	A00002	4E01	丁
00003	A00003	4E03	七
00004	A00004	4E09	三
00005	A00005	4E0B	下
00006	A00006	4E08	丈
00007	A00007	4E0A	上
00008	A00008	4E11	丑
00009	A00009	4E10	丐
00010	A00010	4E0D	不
00011	A00011	4E19	丙
00012	A00012	4E16	世
00013	A00013	4E15	丕
00014	A00014	4E14	且
00015	A00015	4E18	丘
00016	A00016	4E1E	丞
00017	A00017	4E1F	丟
00018	A00018	4E26	並
00019	A00019	4E2B	丫
00020	A00020	4E2D	中
00021	A00021	4E32	串
00022	A00022	4E38	丸
00023	A00023	51E1	凡
00024	A00024	4E39	丹
00025	A00025	4E3B	主
00026	A00026	4E43	乃
00027	A00027	4E45	久
00028	A00028	4E48	么
00029	A00029	4E4B	之
00030	A00030	5C39	尹
00031	A00031	4E4D	乍
00032	A00032	4E4F	乏
00033	A00033	4E4E	乎
00034	A00034	4E52	乒
00035	A00035	4E53	乓
00036	A00036	4E56	乖
00037	A00037	4E58	乘
00038	A00038	4E59	乙
00039	A00039	4E5D	九
00040	A00040	4E5F	也
00041	A00041	4E5E	乞
00042	A00042	4E69	乩
00043	A00043	4E73	乳
00044	A00044	4E7E	乾
00045	A00045	4E82	亂
00046	A00046	4E86	了
00047	A00047	4E88	予
00048	A00048	4E8B	事
00049	A00049	4E8C	二
00050	A00050	4E8E	于
00051	A00051	4E91	云
00052	A00052	4E95	井
00053	A00053	4E92	互
00054	A00054	4E94	五
00055	A00055	4E99	亙
00056	A00056	4E9B	些
00057	A00057	4E9E	亞
00058	A00058	4E9F	亟
00059	A00059	4EA1	亡
00060	A00060	4EA4	交
00061	A00061	4EA6	亦
00062	A00062	4EA5	亥
00063	A00063	4EA8	亨
00064	A00064	4EAB	享
00065	A00065	4EAC	京
00066	A00066	4EAD	亭
00067	A00067	4EAE	亮
00068	A00068	4EBA	人
00069	A00069	4EC1	仁
00070	A00070	4EC0	什
00071	A00071	4EC3	仃
00072	A00072	4EC6	仆
00073	A00073	4EC7	仇
00074	A00074	4ECD	仍
00075	A00075	4ECA	今
00076	A00076	4ECB	介
00077	A00077	4EC4	仄
00078	A00078	4EE5	以
00079	A00079	4ED8	付
00080	A00080	4ED4	仔
00081	A00081	4ED5	仕
00082	A00082	4ED6	他
00083	A00083	4ED7	仗
00084	A00084	4EE3	代
00085	A00085	4EE4	令
00086	A00086	4ED9	仙
00087	A00087	4EDE	仞
00088	A00088	4EFF	仿
00089	A00089	4F09	伉
00090	A00090	4F19	伙
00091	A00091	4F0A	伊
00092	A00092	4F15	伕
00093	A00093	4F0D	伍
00094	A00094	4F10	伐
00095	A00095	4F11	休
00096	A00096	4F0F	伏
00097	A00097	4EF2	仲
00098	A00098	4EF6	件
00099	A00099	4EFB	任
00100	A00100	4EF0	仰
00101	A00101	4EF3	仳
00102	A00102	4EFD	份
00103	A00103	4F01	企
00104	A00104	4F4D	位
00105	A00105	4F4F	住
00106	A00106	4F47	佇
00107	A00107	4F57	佗
00108	A00108	4F5E	佞
00109	A00109	4F34	伴
00110	A00110	4F5B	佛
00111	A00111	4F55	何
00112	A00112	4F30	估
00113	A00113	4F50	佐
00114	A00114	4F51	佑
00115	A00115	4F3D	伽
00116	A00116	4F3A	伺
00117	A00117	4F38	伸
00118	A00118	4F43	佃
00119	A00119	4F54	佔
00120	A00120	4F3C	似
00121	A00121	4F46	但
00122	A00122	4F63	佣
00123	A00123	4F5C	作
00124	A00124	4F60	你
00125	A00125	4F2F	伯
00126	A00126	4F4E	低
00127	A00127	4F36	伶
00128	A00128	4F59	余
00129	A00129	4F5D	佝
00130	A00130	4F6F	佯
00131	A00131	4F9D	依
00132	A00132	4F8D	侍
00133	A00133	4F73	佳
00134	A00134	4F7F	使
00135	A00135	4F6C	佬
00136	A00136	4F9B	供
00137	A00137	4F8B	例
00138	A00138	4F86	來
00139	A00139	4F83	侃
00140	A00140	4F70	佰
00141	A00141	4F75	併
00142	A00142	4F88	侈
00143	A00143	4F69	佩
00144	A00144	4F7B	佻
00145	A00145	4F96	侖
00146	A00146	4F7E	佾
00147	A00147	4F8F	侏
00148	A00148	4FE1	信
00149	A00149	4FB5	侵
00150	A00150	4FAF	侯
00151	A00151	4FBF	便
00152	A00152	4FE0	俠
00153	A00153	4FD1	俑
00154	A00154	4FCF	俏
00155	A00155	4FDD	保
00156	A00156	4FC3	促
00157	A00157	4FB6	侶
00158	A00158	4FD8	俘
00159	A00159	4FDF	俟
00160	A00160	4FCA	俊
00161	A00161	4FD7	俗
00162	A00162	4FAE	侮
00163	A00163	4FD0	俐
00164	A00164	4FC4	俄
00165	A00165	4FC2	係
00166	A00166	4FDA	俚
00167	A00167	4FCE	俎
00168	A00168	4FDE	俞
00169	A00169	500C	倌
00170	A00170	500D	倍
00171	A00171	5023	倣
00172	A00172	4FEF	俯
00173	A00173	5026	倦
00174	A00174	5025	倥
00175	A00175	4FF8	俸
00176	A00176	5029	倩
00177	A00177	5016	倖
00178	A00178	5006	倆
00179	A00179	503C	值
00180	A00180	501F	借
00181	A00181	501A	倚
00182	A00182	5012	倒
00183	A00183	5011	們
00184	A00184	4FFA	俺
00185	A00185	5000	倀
00186	A00186	5014	倔
00187	A00187	5028	倨
00188	A00188	4FF1	俱
00189	A00189	5021	倡
00190	A00190	500B	個
00191	A00191	5019	候
00192	A00192	5018	倘
00193	A00193	4FF3	俳
00194	A00194	4FEE	修
00195	A00195	502D	倭
